Date,XOP,ETF_PnL,Simple_Hedge_PnL,Collar_Hedge_PnL,Net_Simple,Net_Collar
2026-03-03,158.99,342831.1215196468,692484.9078294204,-448931.00577443367,1035316.0293490672,-106099.88425478688
2026-03-04,160.77,458626.0733801725,597659.0563757989,-564009.8796465957,1056285.1297559715,-105383.8062664232
2026-03-05,163.82,657038.7717928698,462335.29751413997,-767116.3416809564,1119374.0693070097,-110077.56988808664
2026-03-06,164.13,677205.3083528491,441348.14267357235,-784301.5353668367,1118553.4510264215,-107096.2270139876
2026-03-09,161.82,526932.0843091331,500868.33648383355,-615352.5543145295,1027800.4207929666,-88420.4700053964
2026-03-10,159.0,343481.6549570649,617652.889358172,-427309.7219419064,961134.5443152369,-83828.06698484148
2026-03-11,164.69,713635.1808482956,373013.0220567761,-800221.3111573991,1086648.2029050717,-86586.13030910352
2026-03-12,166.71,845042.9352068702,300793.51441416057,-935515.5757364542,1145836.4496210308,-90472.64052958402
2026-03-13,167.89,921805.8808222734,259766.51337743178,-1013853.2689613176,1181572.3941997052,-92047.38813904417
2026-03-16,167.37,887978.1420765031,245695.99262482265,-960060.9225488898,1133674.1347013258,-72082.78047238663
2026-03-17,170.08,1064272.7036169667,176137.06465710467,-1149622.3444569611,1240409.7682740714,-85349.64083999442
2026-03-18,173.36,1277647.671090295,114506.69992078753,-1390946.8279693136,1392154.3710110825,-113299.15687901853
2026-03-19,175.04,1386937.2885766323,87529.60520983489,-1516212.532829656,1474466.8937864671,-129275.24425302376
2026-03-20,177.12,1522248.2435597193,62167.20579983442,-1676975.207563899,1584415.4493595536,-154726.9640041797
2026-03-23,174.87,1375878.2201405156,66664.62006899885,-1478676.4708278503,1442542.8402095144,-102798.25068733469
2026-03-24,180.24,1725214.6760343488,27077.393923712752,-1914194.4727991603,1752292.0699580614,-188979.7967648115
2026-03-25,181.62,1814988.290398127,19137.10427792422,-2026859.7661291307,1834125.394676051,-211871.4757310038
2026-03-26,185.32,2055685.6622430389,8643.264832689281,-2343856.3560364298,2064328.927075728,-288170.6937933909
2026-03-27,188.18,2241738.225344783,4180.21649672763,-2593357.5630640266,2245918.4418415106,-351619.3377192435
2026-03-30,185.48,2066094.1972417375,3800.70676565194,-2344567.990894235,2069894.9040073894,-278473.7936524977
2026-03-31,181.83,1828649.4925839198,6652.223878191613,-2019230.354985506,1835301.7164621113,-190580.86240158626
